Marca temporal,"Frente a usted hay 2 muestras codificadas,  elija la muestra que más le gustó.",Comentarios muestra 569,Comentarios muestra 792
17/7/2025 14:20:27,Muestra 569,Le gustó porque tiene mejor sabor y sabe Mucho mayonesa,Está bien de sabor Pero le falta algo y tiene mucho vinagre que deberían a bajarle un poco
17/7/2025 14:21:55,Muestra 792,Está bien no está ni tan maluca ni tan buena,Tiene mejor sabor a mayonesa
17/7/2025 14:22:28,Muestra 569,Es más Sabrosita,Tiene un sabor tradicional
17/7/2025 14:22:55,Muestra 792,Es más ácida,Tiene mejor sabor
17/7/2025 14:23:24,Muestra 569,Es más rica,Tiene mucho sabor grasa
17/7/2025 14:24:15,Muestra 569, Tiene más sabor,Es muy aceitosa
17/7/2025 14:24:42,Muestra 569,Es más fuerte de sabor,Sabe como a huevo
17/7/2025 14:25:05,Muestra 792,Es muy aguada,Más concentrada
17/7/2025 14:26:01,Muestra 569,Le gustó más el sabor pero algo Clara,Muy espesa tiene sabor sal
17/7/2025 14:26:38,Muestra 792,Está buena de sabor pero debería aumentar el espesor,Tiene mejor consistencia
17/7/2025 14:27:29,Muestra 569,Tiene buen sabor pero muy líquida,No Tiene sabor lo único bueno es que es espesa
17/7/2025 14:28:46,Muestra 792,Las dos gustaron pero le gustó más la 792,Está buena de sabor
17/7/2025 14:29:43,Muestra 792,Es más simplona,Le gustó porque tiene más gustico
17/7/2025 14:30:35,Muestra 569,Es más sabrosa pero muy líquida,Está buena pero le falta sabor a mayonesa
17/7/2025 14:31:09,Muestra 792,Tiene buen sabor pero es líquida,Es muy cremosita
17/7/2025 14:32:16,Muestra 792,Es más líquida y dulce,Sabe la mayonesa mavesa
17/7/2025 14:32:47,Muestra 569,Le parece mejor porque tiene más sabor a mayonesa,Le falta algo
17/7/2025 14:33:48,Muestra 569,Mejor sabor parece a la kraft,Es espesa pero no tiene sabor 
17/7/2025 14:34:22,Muestra 792,Es muy ácida y Aguada,Es un poco más dulce
17/7/2025 14:34:56,Muestra 569,Es más sabrosa como para comérsela con arepa,Está insípida
17/7/2025 14:35:15,Muestra 569,Tiene más sabor,Es muy ácida
17/7/2025 14:36:24,Muestra 569,Es mejor sabor,Si esta estuviera el sabor de la 5 6 9 sería perfecta no tiene sabor
17/7/2025 14:37:15,Muestra 792,Esta se siente dulce y salada,Le gustó más porque tiene más sabor pero está simple
17/7/2025 14:37:38,Muestra 792,Se le siente mucho el vinagre,Le gustó por su textura
17/7/2025 14:38:03,Muestra 569,Tiene más gustico,Sabe mucho a huevo
17/7/2025 14:38:32,Muestra 569,Tiene un toque como dulcito y condimentada,Muy natural
17/7/2025 14:39:26,Muestra 569,Tiene sabor como a la mayonesa helma,No le gustó porque es muy suave de sabor
17/7/2025 14:39:53,Muestra 569,Tiene mejor sabor pero más líquida,No tiene sabor
17/7/2025 14:40:31,Muestra 569,Tiene más sabor a salsa de ajo,No tiene sabor pero de espesor está mejor
17/7/2025 14:41:12,Muestra 569,Sabes más a mayonesa y un poco ácida,No sabe mayonesa
17/7/2025 14:41:44,Muestra 569,Es más rica,Es simple
17/7/2025 14:43:29,Muestra 792,Parece que la hicieron con harina de trigo,Es más espesa
17/7/2025 14:43:59,Muestra 569,Está mejor y tiene una sensación picantosa,Está muy salada
17/7/2025 14:44:27,Muestra 569,Está sabrosa tiene más sabor a mayonesa,Tiene sabor a grasa
17/7/2025 14:45:02,Muestra 569,Tiene más sabor Aunque es más aguada,No tiene sabor pero de espesor está perfecta
17/7/2025 14:45:55,Muestra 792,Es buena pero muy líquida,Está rica aunque un poco simple pero es más fácil de jugar con ella al momento de cocinar
17/7/2025 14:46:16,Muestra 569,Muy buena,Maluca no tiene sabor
17/7/2025 14:47:10,Muestra 792,Está como ácida,Le falta algo para parecerse a la mavesa
17/7/2025 14:48:17,Muestra 569,Tiene un toque de sabor a ajo,Siente que está muy grasosa
17/7/2025 14:48:56,Muestra 569,Está más deliciosa,No le gustó porque tiene un sabor amargo
17/7/2025 14:49:33,Muestra 792,Tiene buen sabor Pero le falta Cómo espesar más,Está mejor porque está más concentrada aunque le falta un poco de sabor
17/7/2025 14:50:08,Muestra 569,Buen sabor tiene un toque ácido,Está bueno pero le falta sabor
17/7/2025 14:50:37,Muestra 569,Está entre la combinación de dulce y ácida,Está insípida
17/7/2025 14:51:18,Muestra 792,Una sensación agria,Tiene una sensación como dulce que la haces sentirse sabrosa
17/7/2025 14:52:01,Muestra 569,Está mejor pero tiene mucho sabor a vinagre,Está simple le hace falta sabor
17/7/2025 14:52:21,Muestra 792,Esta amarga,Está dulcita Sabrosita
17/7/2025 14:53:08,Muestra 569,Parece que tuviera un sabor a tocineta pero muy poco pero está sabrosa,Está agria
17/7/2025 14:53:47,Muestra 569,Está más saborizada,No le gustó porque tiene un sabor raro
17/7/2025 14:54:10,Muestra 569,Tiene mejor sabor,Tiene mucho sabor a grasa
17/7/2025 14:54:46,Muestra 569,Está más rica,Está simple sin sabor
17/7/2025 14:55:49,Muestra 792,Muy ácida deben ponerle menos vinagre,Está buena de cremosidad pero deben agregar sabor
